id,pais,region
1,Afganistán,Otros
2,Algeria,Otros
3,Alemania,Europa
4,Argentina,América
5,Australia,Otros
6,Austria,Europa
7,Bélgica,Europa
8,Bolivia,América
9,Brasil,América
10,Canadá,América
11,Chile,América
12,China,Otros
13,Colombia,América
14,Corea del Sur,Otros
15,Costa Rica,América
16,Croacia,Europa
17,Cuba,América
18,Dinamarca,Europa
19,Ecuador,América
20,Egipto,Otros
21,El Salvador,América
22,España,Europa
23,Estados Unidos,América
24,Filipinas,Otros
25,Finlandia,Europa
26,Francia,Europa
27,Grecia,Europa
28,Guatemala,América
29,Haití,América
30,Honduras,América
31,Hungría,Europa
32,India,Otros
33,Irán,Otros
34,Irlanda,Europa
35,Israel,Otros
36,Italia,Europa
37,Jamaica,América
38,Japón,Otros
39,Marruecos,Otros
40,México,América
41,Nicaragua,América
42,Nigeria,Otros
43,Noruega,Europa
44,Países Bajos,Europa
45,Pakistán,Otros
46,Panamá,América
47,Paraguay,América
48,Perú,América
49,Polonia,Europa
50,Portugal,Europa
51,Puerto Rico,América
52,República Dominicana,América
53,Rumania,Europa
54,Rusia,Europa
55,Senegal,Otros
56,Siria,Otros
57,Sudáfrica,Otros
58,Suecia,Europa
59,Suiza,Europa
60,Tailandia,Otros
61,Trinidad y Tobago,América
62,Turquía,Otros
63,Uruguay,América
64,Venezuela,América
65,Vietnam,Otros
