id_area_servicio;Área de Servicio;id_area;
6361;Inspecciones;1;
6437;Cédulas de Notificación;1;
6717;Alumbrado Público;1;
6891;Luminaria - interno;1;
6895;Relevamiento Luminaria;1;
7007;Inscripción de profesionales;1;
7008;Flota vehicular;1;
7197;Habilitación Comercial;1;
7299;Permiso de Obra;1;
7325;Parque informático;1;
7378;Obras Municipales - Pluviales;1;
7533;Arbolado;1;
7534;Calles y veredas;1;
7535;Espacios verdes y plazas;1;
7536;Recol.residuos reciclables;1;
7537;Recol.residuos y limpieza;1;
7538;Inconvenientes con empresa de servicio p;1;
7539;Licencia de Conducir;1;
7540;Mant. general;1;
7541;Recol.residuos y limpieza en es;1;
7542;Retiro de animales muertos;1;
7543;Señalamiento Vial;1;
7544;Tránsito;1;
7545;Vehículo abandonado;1;
7584;Mant. vial y Servicios;1;
7585;Relevamiento Punto Seguro;1;
7794;Emergencia Climática;1;
7814;Asesoramiento;1;
7874;Control de incidentes;1;
7884;Inconveniente con olores y plagas en com;1;
7885;Inconvenientes con ruidos molestos;1;
7886;Irregularidades en Actividades Comercial;1;
7887;Consulta sobre habilitación comercial no;1;
7889;Contaminación por derrames tóxicos o agu;1;
7890;Ocupación Irregular del Espacio Público;1;
7891;Inconveniente con plagas en vía pública;1;
7892;Inconvenientes con olores en vía pública;1;
7893;Comercio;1;
7894;Control de norma de seguridad – comercio;1;
7895;Higiene y seguridad – comercio/industria;1;
